TreeMass [M_sol],z,n_projected 1.00E-02[MPC] < r_2d < 2.00E-02[MPC] 1.0E+08 < M < 1.0E+09 mass_bound,"n_(projected,sd) 1.00E-02[MPC] < r_2d < 2.00E-02[MPC] 1.0E+08 < M < 1.0E+09 mass_bound",n_projected 1.00E-02[MPC] < r_2d < 2.00E-02[MPC] 1.0E+08 < M < 1.0E+09 mass_infall,"n_(projected,sd) 1.00E-02[MPC] < r_2d < 2.00E-02[MPC] 1.0E+08 < M < 1.0E+09 mass_infall",n_total 1.0E+08 < M < 1.0E+09 mass_bound,n_total 1.0E+08 < M < 1.0E+09 mass_infall,host halo profile scale radius [Mpc],rvir [Mpc^-2]
5134830000000.0,0.19999999999999998,5.7023809523809526,2.645885223659569,227.57589285714286,39.72330133367144,585.4151785714286,4418.660714285715,0.054752865009852617,0.4044820063055014
4281330000000.0,0.19999999999999998,5.369047619047619,2.554896148782913,206.94196428571428,35.40477538342964,486.7455357142857,3691.1339285714284,0.04947752471066485,0.3806993740292844
3569700000000.0,0.19999999999999998,5.019345238095238,2.3813350696917874,183.78125,31.208134903447622,408.83035714285717,3073.8973214285716,0.0458536283610644,0.35831560476081226
2976350000000.0,0.19999999999999998,4.574404761904762,2.2619654597119085,165.7217261904762,27.8761334063197,343.4642857142857,2577.589285714286,0.04118196300448449,0.33724899915557544
2481630000000.0,0.19999999999999998,4.379464285714286,2.3197638834405034,151.05654761904762,24.68889315509958,291.0044642857143,2159.808035714286,0.04014286042626352,0.31741879034549386
2069140000000.0,0.19999999999999998,4.1086309523809526,2.194103956818743,135.77529761904762,22.738061687755728,241.88839285714286,1795.1160714285713,0.0355979636150228,0.2987582426437973
1725210000000.0,0.19999999999999998,3.7738095238095237,2.1483725317428988,120.875,19.32905458604937,199.17857142857142,1489.0401785714287,0.03588043907146622,0.2811923557681166
1438450000000.0,0.19999999999999998,3.519345238095238,1.977457976159626,108.83333333333333,18.26496994205375,168.57142857142858,1250.4732142857142,0.031817031975690156,0.2646585048026618
1199350000000.0,0.19999999999999998,3.3080357142857144,1.901298353046128,97.30952380952381,15.962270388754815,138.56696428571428,1036.4107142857142,0.02898898737362957,0.24909765085905614
1000000000000.0,0.19999999999999998,3.2023809523809526,1.942045815657648,87.60119047619048,14.742588889140029,118.54910714285714,874.0758928571429,0.0260743677139539,0.23445333525584333
31622800000000.0,0.2666669999999999,12.151785714285714,4.364787034763957,580.7425595238095,110.06341829068272,3623.098214285714,27138.089285714286,0.12667809768969102,0.7138923505899574
26366500000000.0,0.2666669999999999,11.444940476190476,4.012992811603421,538.9880952380952,104.30766579686716,3043.3348214285716,22674.776785714286,0.11273687101483594,0.671918407062666
21983900000000.0,0.2666669999999999,10.758928571428571,3.8620071015005677,488.1235119047619,97.09976420720648,2570.8348214285716,19031.995535714286,0.10297218603684095,0.6324159800171528
18329800000000.0,0.2666669999999999,9.703869047619047,3.535969494857918,440.6175595238095,81.87538361231124,2125.0401785714284,15798.629464285714,0.09660662063700334,0.5952320321503587
15283100000000.0,0.2666669999999999,9.55952380952381,3.5215364290124382,403.6577380952381,70.14367992185059,1796.5580357142858,13221.357142857143,0.08525298530075988,0.5602340408061353
12742700000000.0,0.2666669999999999,8.513392857142858,3.299503810163327,373.92559523809524,65.6786717002739,1483.544642857143,11003.973214285714,0.08143320301856911,0.527295156211096
10624700000000.0,0.2666669999999999,7.982142857142857,3.248577004015821,341.4166666666667,66.04748171785084,1239.0044642857142,9174.910714285714,0.07457460462116816,0.4962934130947269
8858670000000.0,0.2666669999999999,7.680059523809524,3.193700271632945,312.5550595238095,56.367363842422826,1036.236607142857,7713.495535714285,0.06979842864910264,0.46711306759217036
7386200000000.0,0.2666669999999999,6.811011904761905,2.7626867831448134,281.60267857142856,46.33995298686928,852.625,6338.450892857143,0.064590102838655,0.4396484949941669
6158480000000.0,0.2666669999999999,6.419642857142857,2.7714694170406853,254.8095238095238,43.51258060839203,711.6026785714286,5286.696428571428,0.0571657563006539,0.4138035768531405
5134830000000.0,0.2666669999999999,6.049107142857143,2.630911559018575,231.03125,41.99231689487262,609.625,4497.191964285715,0.05528422222075324,0.38947139114178536
4281330000000.0,0.2666669999999999,5.626488095238095,2.5673222662739277,209.05357142857142,34.85057540834178,500.54910714285717,3700.2410714285716,0.05114868494376424,0.36657249829227023
3569700000000.0,0.2666669999999999,5.459821428571429,2.5275020543570115,192.35416666666666,30.910289460690123,422.82589285714283,3104.535714285714,0.04583523529920025,0.3450196883466482
2976350000000.0,0.2666669999999999,5.208333333333333,2.4769272598915073,172.86607142857142,29.856600391660113,349.55357142857144,2585.370535714286,0.042687674030733,0.32473259237840757
2481630000000.0,0.2666669999999999,4.857142857142857,2.295922146633322,153.60714285714286,25.452052427832133,292.88392857142856,2157.65625,0.039300173518600066,0.3056429969990347
